instance,size,density,sa_energy,velox_energy,gap,runtime_velox,runtime_sa
randomIsingDWaveZephyr_30_sparse_1.h5,29280,0.0006706866433754367,-23039.848,-23064.293,-0.10610014,0.541727739,1200.746178566
randomIsingDWaveZephyr_30_sparse_2.h5,29280,0.0006706866433754367,-23120.047,-23147.447,-0.118513554,0.032962314,588.519464484
randomIsingDWaveZephyr_30_sparse_3.h5,29280,0.0006706866433754367,-22999.73,-23021.256,-0.09358975,0.030263714,588.616378514
randomIsingDWaveZephyr_30_sparse_4.h5,29280,0.0006706866433754367,-23034.855,-23056.973,-0.096016176,0.033586753,588.532039845
randomIsingDWaveZephyr_30_sparse_5.h5,29280,0.0006706866433754367,-23099.426,-23122.104,-0.09817445,0.028025292,588.450918885
randomIsingDWaveZephyr_40_sparse_1.h5,51840,0.0003805453151196464,-40769.992,-40822.855,-0.12966223,0.054827236,1039.546998067
randomIsingDWaveZephyr_40_sparse_2.h5,51840,0.0003805453151196464,-40855.29,-40896.4,-0.10062192,0.052784362,1039.424385095
randomIsingDWaveZephyr_40_sparse_3.h5,51840,0.0003805453151196464,-40736.12,-40778.86,-0.104914956,0.052663637,1039.593203924
randomIsingDWaveZephyr_40_sparse_4.h5,51840,0.0003805453151196464,-40971.062,-41024.25,-0.12981723,0.049941327,1039.277430287
randomIsingDWaveZephyr_40_sparse_5.h5,51840,0.0003805453151196464,-40764.734,-40811.586,-0.1149316,0.050890323,1039.422018062
randomIsingDWaveZephyr_50_sparse_1.h5,80800,0.0002448215861190079,-63730.246,-63798.633,-0.10730653,0.073964456,1803.580060452
randomIsingDWaveZephyr_50_sparse_2.h5,80800,0.0002448215861190079,-63449.082,-63525.22,-0.11999656,0.06672755,1803.030334632
randomIsingDWaveZephyr_50_sparse_3.h5,80800,0.0002448215861190079,-63787.797,-63854.027,-0.10382937,0.07608217,1767.022860631
randomIsingDWaveZephyr_50_sparse_4.h5,80800,0.0002448215861190079,-64010.516,-64082.76,-0.112865984,0.078342989,1840.67812416
randomIsingDWaveZephyr_50_sparse_5.h5,80800,0.0002448215861190079,-63510.195,-63584.57,-0.117107175,0.07685473,1835.44813203
randomIsingDWaveZephyr_60_sparse_1.h5,116160,0.00017060751200965326,-91711.336,-91817.27,-0.115511894,0.242866901,3409.446558256
randomIsingDWaveZephyr_60_sparse_2.h5,116160,0.00017060751200965326,-91507.625,-91619.1,-0.12182216,0.233397041,3410.437863067
randomIsingDWaveZephyr_60_sparse_3.h5,116160,0.00017060751200965326,-91617.75,-91731.125,-0.123747855,0.224168555,3409.117747852
randomIsingDWaveZephyr_60_sparse_4.h5,116160,0.00017060751200965326,-91752.57,-91857.66,-0.114531875,0.144594823,3408.846815551
randomIsingDWaveZephyr_60_sparse_5.h5,116160,0.00017060751200965326,-91871.86,-91988.34,-0.12679005,0.129391478,3408.359300308
